Date;Open;High;Low;Close;Volume;Adj Close
03/01/1950;16,66;17,09;16,66;17,049999;1926600;17,049999
01/02/1950;17,049999;17,32;16,99;17,219999;1750500;17,219999
01/03/1950;17,24;17,559999;17,07;17,290001;1710000;17,290001
03/04/1950;17,530001;18,049999;17,530001;17,959999;2358900;17,959999
01/05/1950;18,219999;18,780001;18,110001;18,780001;1989000;18,780001
01/06/1950;18,77;19,4;17,440001;17,690001;2196300;17,690001
03/07/1950;17,639999;17,91;16,68;17,84;2308000;17,84
01/08/1950;18,02;18,82;17,950001;18,42;1740800;18,42
01/09/1950;18,549999;19,450001;18,540001;19,450001;2019500;19,450001
02/10/1950;19,690001;20,120001;19,530001;19,530001;2247600;19,530001
01/11/1950;19,559999;20,32;19,360001;19,51;2146000;19,51
01/12/1950;19,66;20,43;19;20,43;2935500;20,43
02/01/1951;20,77;21,74;20,690001;21,66;3080000;21,66
01/02/1951;21,77;22,200001;21,76;21,799999;2161100;21,799999
01/03/1951;21,85;21,950001;21,25;21,48;1599000;21,48
02/04/1951;21,32;22,43;21,26;22,43;1597100;22,43
01/05/1951;22,530001;22,809999;21,030001;21,52;1699500;21,52
01/06/1951;21,48;22,049999;20,959999;20,959999;1807100;20,959999
02/07/1951;21,1;22,629999;21,1;22,4;1406600;22,4
01/08/1951;22,51;23,280001;22,51;23,280001;1528600;23,280001
04/09/1951;23,280001;23,709999;23,26;23,26;1990000;23,26
01/10/1951;23,469999;23,85;22,66;22,940001;1851800;22,940001
01/11/1951;23,1;23,1;22,4;22,879999;1321500;22,879999
03/12/1951;23,01;23,77;23,01;23,77;1450000;23,77
02/01/1952;23,799999;24,66;23,74;24,139999;1651300;24,139999
01/02/1952;24,299999;24,299999;23,09;23,26;1377800;23,26
03/03/1952;23,290001;24,370001;23,290001;24,370001;1345700;24,370001
01/04/1952;24,18;24,18;23,32;23,32;1336100;23,32
01/05/1952;23,17;23,940001;23,17;23,860001;1121400;23,860001
02/06/1952;23,799999;24,959999;23,780001;24,959999;1281400;24,959999
01/07/1952;25,120001;25,4;24,809999;25,4;1151300;25,4
01/08/1952;25,450001;25,549999;24,83;25,030001;1037100;25,030001
02/09/1952;25,15;25,25;24,450001;24,540001;1200900;24,540001
01/10/1952;24,48;24,58;23,799999;24,52;1259000;24,52
03/11/1952;24,6;25,66;24,6;25,66;1904100;25,66
01/12/1952;25,68;26,59;25,610001;26,57;1933100;26,57
02/01/1953;26,540001;26,66;25,860001;26,379999;1705700;26,379999
02/02/1953;26,51;26,540001;25,48;25,9;1786600;25,9
02/03/1953;25,93;26,33;25,290001;25,290001;2074000;25,290001
01/04/1953;25,25;25,25;24,190001;24,620001;1690900;24,620001
01/05/1953;24,73;25,059999;24,459999;24,540001;1269000;24,540001
01/06/1953;24,15;24,219999;23,540001;24,139999;1222700;24,139999
01/07/1953;24,24;24,75;24,07;24,75;1024300;24,75
03/08/1953;24,84;24,84;23,32;23,32;1241900;23,32
01/09/1953;23,42;23,65;22,709999;23,35;1337600;23,35
01/10/1953;23,49;24,58;23,389999;24,540001;1290900;24,540001
02/11/1953;24,66;24,76;24,25;24,76;1588800;24,76
01/12/1953;24,780001;24,99;24,549999;24,809999;1756300;24,809999
04/01/1954;24,950001;26,09;24,799999;26,08;1768500;26,08
01/02/1954;25,99;26,299999;25,809999;26,15;1851000;26,15
01/03/1954;26,25;26,940001;26,25;26,940001;2032100;26,940001
01/04/1954;27,17;28,26;27,01;28,26;2188000;28,26
