Date;ESTX50;FTSE;SP500;HangSeng;Nikkei;SPASX200;GBP/EUR (FTSE);USD/EUR(SP500);CNY/EUR (HangSeng);JPY/EUR(Nikkei);AUD/EUR (S&P ASX200);;;;;
12/01/2017;3286.7;7290.49;2271.139893;22956.439453;19300.189453;5771.5;1.1537;0.9448;0.1362;0.0082;0.7029;;;;;
11/01/2017;3307.94;7275.47;2268.600098;22816.009766;19358.640625;5760.700195;1.1535;0.9474;0.1368;0.0082;0.6979;;;;;
10/01/2017;3306.21;7237.77;2269.719971;22561.169922;19414.830078;5807.399902;1.1498;0.9454;0.1362;0.0081;0.6952;;;;;
09/01/2017;3308.97;7210.05;2273.590088;22561.109375;19414.830078;5755.600098;1.1633;0.9487;0.137;0.0081;0.6916;;;;;
06/01/2017;3321.17;7195.31;2271.139893;22583.289062;19393.550781;5753.299805;1.1702;0.9424;0.1367;0.0082;0.6912;;;;;
05/01/2017;3316.47;7189.74;2268.179932;22302.640625;19602.099609;5736.399902;1.1744;0.953;0.1374;0.0081;0.694;;;;;
04/01/2017;3317.52;7177.89;2261.600098;22201.080078;19298.679688;5733.200195;1.1752;0.9607;0.138;0.0082;0.694;;;;;
03/01/2017;3315.02;7142.83;2251.570068;21993.359375;19298.679688;5667.399902;1.173;0.9565;0.1377;0.0081;0.6868;;;;;
02/01/2017;3308.67;7120.26;2251.610107;21818.910156;18997.679688;5667.399902;1.1735;0.9494;0.1367;0.0081;0.6833;;;;;
30/12/2016;3308.67;7120.26;2251.610107;21818.910156;18997.679688;5699.100098;1.1684;0.953;0.137;0.0081;0.6876;;;;;
29/12/2016;3271.76;7106.08;2249.50;21591.039062;19301.039062;5685;1.1736;0.9601;0.1379;0.0082;0.689;;;;;
28/12/2016;3278.72;7068.17;2270.22998;21562.699219;19392.109375;5627.899902;1.1732;0.9561;0.1375;0.0081;0.6869;;;;;
27/12/2016;3278.53;7063.68;2266.22998;21553.779297;19353.429688;5627.899902;1.1742;0.9562;0.1376;0.0082;0.6874;;;;;
26/12/2016;3278.53;7063.68;2260.25;21553.779297;19353.429688;5627.899902;1.1728;0.9565;0.1376;0.0082;0.6851;;;;;
23/12/2016;3273.97;7063.68;2260.25;21553.779297;19394.410156;5643.899902;1.1765;0.958;0.1378;0.0082;0.6912;;;;;
22/12/2016;3269.51;7041.42;2262.929932;21800.220703;19396.849609;5613.5;1.1844;0.959;0.1381;0.0082;0.694;;;;;
21/12/2016;3270.75;7043.96;2270.540039;21770.890625;19547.279297;5591.100098;1.1899;0.9625;0.1384;0.0082;0.6987;;;;;
20/12/2016;3279.41;7017.16;2266.50;21767.609375;19367.839844;5562.100098;1.1914;0.961;0.1381;0.0082;0.6964;;;;;
19/12/2016;3257.85;7011.64;2259.23999;21945.839844;19345.839844;5532.899902;1.1955;0.9568;0.1374;0.0081;0.6967;;;;;
16/12/2016;3257.85;6999.01;2266.810059;21996.380859;19438.390625;5538.600098;1.1921;0.9598;0.1382;0.0081;0.7059;;;;;
15/12/2016;3249.74;6949.19;2253.77002;22257.710938;19327.699219;5584.600098;1.1922;0.949;0.1374;0.0081;0.7025;;;;;
14/12/2016;3211.71;6968.57;2268.350098;22596.710938;19270.009766;5545;1.1908;0.9409;0.1363;0.0082;0.7055;;;;;
13/12/2016;3236.71;6890.42;2263.320068;22407.619141;19120.759766;5562.799805;1.1919;0.9401;0.1361;0.0082;0.7048;;;;;
12/12/2016;3199.11;6954.21;2258.830078;22860.269531;19183.820312;5560.600098;1.1908;0.9473;0.1371;0.0082;0.7056;;;;;
09/12/2016;3197.54;6931.55;2249.72998;22765.839844;18839.980469;5543.600098;1.1854;0.942;0.1369;0.0083;0.7026;;;;;
08/12/2016;3185.79;6902.23;2241.129883;23027.380859;18674.189453;5478.100098;1.1738;0.9299;0.1351;0.0082;0.6955;;;;;
07/12/2016;3142.24;6779.84;2210.719971;22805.130859;18434.539062;5428.700195;1.1826;0.9329;0.1355;0.0082;0.696;;;;;
06/12/2016;3100.76;6746.83;2207.26001;22694.269531;18457.199219;5400.399902;1.1826;0.9289;0.1349;0.0082;0.6939;;;;;
05/12/2016;3052.75;6730.72;2200.649902;22580.75;18349.919922;5444;1.1915;0.9362;0.1359;0.0083;0.6972;;;;;
02/12/2016;3015.13;6752.93;2191.120117;22736.839844;18435.550781;5500.200195;1.1804;0.9377;0.1361;0.0082;0.6951;;;;;
01/12/2016;3015.13;6783.79;2200.169922;22948.650391;18535.240234;5440.5;1.1807;0.9442;0.137;0.0082;0.697;;;;;
30/11/2016;3051.61;6772.00;2204.969971;22842.359375;18356.029297;5457.5;1.1723;0.9387;0.136;0.0083;0.7024;;;;;
29/11/2016;3038.42;6799.47;2200.76001;22739.509766;18263.630859;5464.399902;1.1692;0.9419;0.1363;0.0084;0.7044;;;;;
28/11/2016;3016.8;6840.75;2210.209961;22738.939453;18302.580078;5507.799805;1.1758;0.943;0.1362;0.0084;0.7007;;;;;
25/11/2016;3048.38;6829.20;2206.27002;22609.220703;18387.589844;5485.100098;1.1792;0.9472;0.1368;0.0084;0.7016;;;;;
24/11/2016;3040.6;6817.71;2198.550049;22574.820312;18329.779297;5484.399902;1.1784;0.9475;0.1369;0.0084;0.6993;;;;;
23/11/2016;3032.15;6819.72;2198.550049;22702.410156;18329.779297;5413.299805;1.1687;0.9408;0.1365;0.0085;0.6962;;;;;
22/11/2016;3044.33;6777.96;2201.560059;22491.710938;18091.050781;5351.299805;1.1745;0.9404;0.1364;0.0085;0.693;;;;;
21/11/2016;3032.97;6775.77;2186.429932;22313.039062;18038.089844;5359.399902;1.1674;0.9445;0.1371;0.0085;0.6916;;;;;
18/11/2016;3020.83;6794.71;2186.850098;22239.230469;18024.210938;5338.5;1.168;0.9408;0.1367;0.0085;0.6966;;;;;
17/11/2016;3041.79;6749.72;2178.610107;22170.070312;17766.609375;5327.700195;1.1635;0.9352;0.1359;0.0086;0.6994;;;;;
16/11/2016;3026.36;6792.74;2177.530029;22439.980469;17832.509766;5326.200195;1.1612;0.9325;0.1359;0.0086;0.7046;;;;;
15/11/2016;3049.72;6753.18;2168.290039;22270.900391;17668.150391;5345.700195;1.1625;0.9311;0.136;0.0086;0.703;;;;;
14/11/2016;3039.8;6730.43;2165.639893;22344.230469;17467.490234;5370.700195;1.1604;0.9211;0.1352;0.0086;0.6932;;;;;
11/11/2016;3030.02;6827.98;2162.709961;22622.460938;17526.609375;5328.799805;1.1522;0.9178;0.1349;0.0086;0.6985;;;;;
